class_name,accuracy,S_0,S_1,S_2,S_3,S_4,S_5,S_6,S_7,S_8,S_9,S_10,S_11,S_12,S_13,S_14,S_15,S_16,S_17
doing nails 97,0.2916666666666667,0.026113784568798214,0.014502638467173609,0.012067847310358456,0.005201597189685952,0.00489795126900491,0.014074409896145681,0.008537014075554905,0.005083472333951957,0.0023477430483843714,0.0013756597324067518,0.0009870832886857291,0.0028371874964795997,0.0020219791721966533,0.0012611804933597645,0.024164096967368903,0.024375346504255296,0.015187256600733641,0.008958750076126306
golf chipping 141,0.28,0.18833653276960052,0.2734297663211822,0.25343033225337663,0.23557303670247393,0.21281016699075705,0.2501836005787055,0.19102866684595746,0.16134640185038251,0.2274151341296732,0.24965283495386448,0.24201109975576401,0.22120520009274286,0.24684919975598663,0.24330996680259706,0.16945136581659315,0.13982403478721778,0.17850316617886225,0.12332049907445908
kitesurfing 177,0.28,0.06254683332790932,0.08971136556764442,0.0782179325371981,0.051225299147268144,0.041364166704813646,0.0802128992974758,0.04960736743410428,0.03938366670794785,0.05438616689021389,0.04335036681741476,0.034279899320254714,0.055702266343310464,0.04501336724360782,0.033950400199616954,0.05342143293221792,0.055760433534781155,0.04254403435575464,0.04606939902752639
situp 305,0.28,0.29031613322893773,0.3028583987871806,0.2654613337834676,0.2267915963411331,0.18307826706965755,0.2619262347698212,0.22385526707967124,0.1869011975765228,0.1825686323920886,0.196255465614299,0.15010016643305624,0.1764604661186536,0.19145709960957366,0.14072723394657177,0.2079301984469096,0.21241883159081149,0.15917366731564203,0.17569613321622207
sign language interpreting 303,0.2708333333333333,0.3970098287529416,0.32037163250976136,0.2728815301424927,0.21194080010056504,0.1835387842688296,0.27630145576265125,0.21535048999720155,0.1765350335112048,0.09833121507739029,0.0610100346808839,0.04470958396870022,0.10131399323439434,0.06576694356846727,0.04743163225111655,0.38285354071193284,0.40101781646410606,0.23737288580120852,0.2816527769300673
feeding fish 124,0.2653061224489796,0.10571499922648578,0.11281945495378408,0.10259299259607482,0.06535870642078166,0.054330204671540226,0.09904299404345399,0.05813275330326186,0.043138910795555624,0.04633836712257391,0.028983197200815283,0.015654761710641334,0.04320377578084568,0.029774320157510897,0.014574523331458065,0.08245159638171291,0.08329098643088828,0.06184836801622999,0.0703077200580971
golf putting 143,0.2653061224489796,0.20485204220426328,0.2693229929253864,0.2529574819040947,0.22480571641909838,0.2049954411250596,0.24916629535912654,0.20007384443997725,0.18667105314581578,0.23565309413639055,0.25870952136054326,0.2486059183710996,0.22535278818437032,0.2572044513781308,0.25885819940644045,0.1739509177020415,0.15738686870124674,0.14399639536100786,0.12706962639884067
riding mechanical bull 270,0.2653061224489796,0.2653981309358766,0.3979823840069935,0.37079418195348207,0.2703738425378086,0.2080284352772901,0.3674848659671083,0.25339632606830725,0.198162381081354,0.2654546574467704,0.17388847128063642,0.11023088438778503,0.2622450018821119,0.16966187022981188,0.10814272087751603,0.2316167692586678,0.23337860532358384,0.19317962711360184,0.18942805964930534
hockey stop 154,0.26,0.16594543180068339,0.27293146692117054,0.24859569817384095,0.19294509944717084,0.16811470090150837,0.24732670276165003,0.18983803437153504,0.16420686499277753,0.2251496026357015,0.22250153433481856,0.2030749680916468,0.2236146006266277,0.22101193390289942,0.20444649764249723,0.14683156695365904,0.14224476523796717,0.13190090051492057,0.13330400085995595
riding or walking with horse 273,0.25,0.18792058901240427,0.3454056607352363,0.3234348968002532,0.21943941237197984,0.17070965141057967,0.31639083491431347,0.21035934020247726,0.15219538271427155,0.2766348960002263,0.22421774147802764,0.18857718808938648,0.2676528110686275,0.20198409537681275,0.17178270616465144,0.15388555632852433,0.13996166817326508,0.17921711668682597,0.14857506847629942
