Frame,Action,clapping_prob,other_prob,num_people,inference_time,frame_rate,detection_time,pose_time,track_time,action_time
31,Other,0.076014556,0.6736718,2,0.0969996452331543,10.309316055706581,0.007999897003173828,0.03399991989135742,0.0,0.03699922561645508
32,Other,0.07558607,0.67256796,2,0.08600020408630371,11.627879382663684,0.008000612258911133,0.03799891471862793,0.0009999275207519531,0.026000499725341797
33,Other,0.07559888,0.6727591,2,0.08799982070922852,11.363659515900926,0.00800013542175293,0.03500008583068848,0.0,0.029999494552612305
34,Other,0.08001756,0.6606805,2,0.0950005054473877,10.526259784520944,0.006999969482421875,0.039000511169433594,0.0,0.02700018882751465
35,Other,0.085953206,0.645878,2,0.0890035629272461,11.235505266428794,0.006999969482421875,0.032999515533447266,0.0009999275207519531,0.029004573822021484
36,Other,0.11375302,0.58720183,2,0.09399604797363281,10.638745155333698,0.008000373840332031,0.03500008583068848,0.0,0.028999805450439453
37,Other,0.20224646,0.44764635,2,0.09599971771240234,10.416697296921411,0.007002830505371094,0.03699898719787598,0.001999378204345703,0.030997037887573242
38,clapping,0.41786548,0.23184724,2,0.08800029754638672,11.363597940937415,0.00800013542175293,0.03499960899353027,0.0,0.028998851776123047
39,clapping,0.55950797,0.14471832,2,0.09000301361083984,11.110739072847682,0.006999969482421875,0.0350031852722168,0.0,0.02899932861328125
40,clapping,0.72501785,0.07027402,2,0.09899711608886719,10.101304356202917,0.0070040225982666016,0.037994384765625,0.0,0.03199958801269531
41,clapping,0.7372889,0.06632577,2,0.08700108528137207,11.494109490311283,0.008000612258911133,0.03500008583068848,0.0,0.029001474380493164
42,clapping,0.74683446,0.063164786,2,0.0859990119934082,11.628040564892183,0.0069997310638427734,0.03399991989135742,0.0009999275207519531,0.0280001163482666
43,clapping,0.75572026,0.060536005,2,0.09299993515014648,10.752695670007947,0.0069997310638427734,0.03399968147277832,0.0,0.03000020980834961
44,clapping,0.76366794,0.058428578,2,0.0970010757446289,10.309164020331718,0.008001565933227539,0.033997297286987305,0.0009996891021728516,0.03200125694274902
45,clapping,0.7514785,0.067320146,2,0.08299875259399414,12.048373845950557,0.0069997310638427734,0.02900075912475586,0.0,0.027999162673950195
46,clapping,0.7614917,0.061494257,2,0.0840001106262207,11.904746226463292,0.0069997310638427734,0.031000852584838867,0.0009996891021728516,0.03399968147277832
47,clapping,0.76027936,0.06324164,2,0.09500002861022949,10.526312619366108,0.0070018768310546875,0.035997629165649414,0.0,0.031999826431274414
48,clapping,0.76178706,0.06338453,2,0.09299993515014648,10.752695670007947,0.008999347686767578,0.03699922561645508,0.0010004043579101562,0.0280001163482666
49,clapping,0.7641874,0.06351139,2,0.08699989318847656,11.494266985289281,0.007999897003173828,0.03600001335144043,0.0,0.026999711990356445
