Frame,Action,clapping_prob,other_prob,num_people,inference_time,frame_rate,detection_time,pose_time,track_time,action_time
31,clapping,0.78429335,0.062641844,2,0.09599900245666504,10.41677490817064,0.007999897003173828,0.039999961853027344,0.0009999275207519531,0.029000043869018555
32,clapping,0.7865139,0.061689157,2,0.08800029754638672,11.363597940937415,0.007999420166015625,0.03600049018859863,0.0,0.02700018882751465
33,clapping,0.78592145,0.062206786,2,0.1071164608001709,9.335633314710904,0.011004924774169922,0.03806614875793457,0.0010004043579101562,0.03304433822631836
34,clapping,0.7866022,0.061446734,2,0.0950002670288086,10.526286201877227,0.007999897003173828,0.03500008583068848,0.0,0.02900218963623047
35,clapping,0.78442705,0.062260833,2,0.09099984169006348,10.989030106292951,0.008001327514648438,0.03399848937988281,0.0009999275207519531,0.0280001163482666
36,clapping,0.7832564,0.062270977,2,0.09004974365234375,11.104973311869864,0.006999969482421875,0.03104877471923828,0.0010008811950683594,0.0280001163482666
37,clapping,0.7821681,0.06252252,2,0.07799863815307617,12.820736665138316,0.0070002079010009766,0.0319981575012207,0.0009999275207519531,0.03000020980834961
38,clapping,0.78310305,0.06184409,2,0.07499980926513672,13.333367241839706,0.0069997310638427734,0.031000137329101562,0.0009999275207519531,0.0279998779296875
39,clapping,0.7837765,0.06200273,2,0.08703494071960449,11.489638434081813,0.006999492645263672,0.03403353691101074,0.0010006427764892578,0.03099989891052246
40,clapping,0.7844089,0.06163902,2,0.09400010108947754,10.63828643171471,0.007999658584594727,0.03600001335144043,0.0,0.029000043869018555
41,clapping,0.7828115,0.06327933,2,0.08800005912780762,11.363628728335758,0.008000373840332031,0.03199911117553711,0.0,0.02899932861328125
42,clapping,0.7859987,0.061675847,2,0.09303927421569824,10.748149192153447,0.0069997310638427734,0.031999826431274414,0.0,0.029999732971191406
43,clapping,0.7785007,0.06687106,2,0.10400056838989258,9.61533206483116,0.006999969482421875,0.036000967025756836,0.0010001659393310547,0.03799915313720703
44,clapping,0.77588814,0.06935252,2,0.08805346488952637,11.35673651519131,0.006999015808105469,0.03399968147277832,0.0010004043579101562,0.03204822540283203
45,clapping,0.7794422,0.0654325,2,0.08699917793273926,11.49436148434781,0.007999658584594727,0.03299975395202637,0.0,0.028999805450439453
46,clapping,0.772066,0.07037671,2,0.09400033950805664,10.638259449204345,0.008001327514648438,0.0319976806640625,0.0,0.030999422073364258
47,clapping,0.77583784,0.06739935,2,0.09904217720031738,10.096708576765772,0.007999658584594727,0.03604316711425781,0.0,0.03099989891052246
