Frame,Action,clapping_prob,other_prob,num_people,inference_time,frame_rate,detection_time,pose_time,track_time,action_time
31,clapping,0.84032685,0.083239146,1,0.06000161170959473,16.66621898158266,0.007000446319580078,0.023001432418823242,0.0,0.01400136947631836
32,clapping,0.84266925,0.080589674,1,0.06099843978881836,16.39386193256881,0.007000446319580078,0.023000478744506836,0.0010004043579101562,0.013998270034790039
33,clapping,0.84467775,0.079760216,1,0.06600022315979004,15.151463921249887,0.007999897003173828,0.024000167846679688,0.0009996891021728516,0.015000343322753906
34,clapping,0.8446934,0.07940307,1,0.06000065803527832,16.66648388109401,0.00800013542175293,0.024000167846679688,0.0,0.014000415802001953
35,clapping,0.84358937,0.07856715,1,0.05999922752380371,16.666881246150485,0.007000446319580078,0.022001266479492188,0.0,0.01399850845336914
36,clapping,0.84362096,0.07824077,1,0.06599998474121094,15.151518654451927,0.007001161575317383,0.022995948791503906,0.0010001659393310547,0.014000177383422852
37,clapping,0.8436579,0.07814734,1,0.06299996376037598,15.873025003689813,0.0070002079010009766,0.023000717163085938,0.0009999275207519531,0.015999317169189453
38,clapping,0.8418587,0.08002174,1,0.06200051307678223,16.128898784459853,0.0069997310638427734,0.023000478744506836,0.0009996891021728516,0.01600050926208496
39,clapping,0.8414839,0.07935399,1,0.05899953842163086,16.949285142769394,0.006999492645263672,0.022001028060913086,0.0010004043579101562,0.012998819351196289
40,clapping,0.84516495,0.07660325,1,0.06500601768493652,15.383191212337936,0.006999969482421875,0.02400064468383789,0.0,0.01400136947631836
41,clapping,0.84501153,0.076717384,1,0.058994293212890625,16.95079211121888,0.0070002079010009766,0.022001266479492188,0.0,0.013000249862670898
42,clapping,0.8443302,0.076289766,1,0.06599950790405273,15.151628122042323,0.006999969482421875,0.02499985694885254,0.0,0.014999866485595703
43,clapping,0.84312916,0.07735797,1,0.06100034713745117,16.39334933204093,0.007999897003173828,0.023000240325927734,0.0009999275207519531,0.01600027084350586
44,clapping,0.8434811,0.076252334,1,0.05799984931945801,17.241424102536698,0.008002519607543945,0.021999597549438477,0.000997781753540039,0.014002323150634766
45,clapping,0.84259385,0.07666616,1,0.06500005722045898,15.384601841323406,0.0069997310638427734,0.023999929428100586,0.0009999275207519531,0.014999866485595703
46,clapping,0.8427986,0.07529373,1,0.06099963188171387,16.3935415534823,0.006999969482421875,0.025000572204589844,0.0,0.015999317169189453
47,clapping,0.84192073,0.076170094,1,0.05700087547302246,17.54359019403628,0.008000612258911133,0.02200031280517578,0.0,0.01399993896484375
48,clapping,0.84161794,0.075284995,1,0.06299924850463867,15.873205216509358,0.006999969482421875,0.023000001907348633,0.0,0.01399993896484375
49,clapping,0.83988166,0.07674277,1,0.06400227546691895,15.624444485835086,0.008000612258911133,0.02399754524230957,0.0,0.014002084732055664
50,clapping,0.8420188,0.07510935,1,0.06099820137023926,16.3939260098888,0.0069997310638427734,0.02200031280517578,0.0009999275207519531,0.013000011444091797
51,clapping,0.8378781,0.07848036,1,0.06199955940246582,16.129146878424887,0.0069997310638427734,0.023001432418823242,0.0,0.01399850845336914
52,clapping,0.8369113,0.07858004,1,0.06399989128112793,15.625026542738466,0.007999897003173828,0.024000167846679688,0.0,0.013000011444091797
53,clapping,0.83986926,0.07534388,1,0.0690004825592041,14.492652267206617,0.008000373840332031,0.02899956703186035,0.0,0.015000343322753906
54,clapping,0.8413507,0.0726638,1,0.07951474189758301,12.576284298174862,0.007999897003173828,0.03000020980834961,0.0,0.01600050926208496
55,clapping,0.83975816,0.07254859,1,0.07599925994873047,13.158022863309533,0.00800013542175293,0.0279996395111084,0.0,0.016000032424926758
56,clapping,0.83971083,0.07206632,1,0.059000253677368164,16.949079667831814,0.008000373840332031,0.026999235153198242,0.0010001659393310547,0.014000415802001953
57,clapping,0.8390599,0.073108375,1,0.0620417594909668,16.118176018937675,0.008041858673095703,0.026999711990356445,0.0,0.01399993896484375
58,clapping,0.8388378,0.07271316,1,0.06299996376037598,15.873025003689813,0.00800013542175293,0.026999950408935547,0.0,0.014000177383422852
59,clapping,0.83779925,0.07197119,1,0.06200003623962402,16.129022830488335,0.008000373840332031,0.0299990177154541,0.0,0.015000343322753906
60,clapping,0.83773106,0.07220368,1,0.056000471115112305,17.85699263037342,0.007999897003173828,0.023999691009521484,0.0,0.014000654220581055
