Frame,Action,clapping_prob,other_prob,num_people,inference_time,frame_rate,detection_time,pose_time,track_time,action_time
31,Other,0.3241166,0.5267099,1,0.06903934478759766,14.48449435718923,0.0070002079010009766,0.024000167846679688,0.0,0.015000104904174805
32,Other,0.30968615,0.55362844,1,0.06399989128112793,15.625026542738466,0.0069997310638427734,0.02700042724609375,0.0,0.014999628067016602
33,Other,0.26501188,0.619398,1,0.05799984931945801,17.241424102536698,0.00699925422668457,0.021000385284423828,0.0,0.015998363494873047
34,Other,0.2068136,0.6993404,1,0.06299948692321777,15.873145145114838,0.006999969482421875,0.023001670837402344,0.0,0.01599884033203125
35,Other,0.19657637,0.72515833,1,0.06903648376464844,14.485094626329603,0.0070002079010009766,0.025001049041748047,0.0010001659393310547,0.01799941062927246
36,Other,0.18053001,0.7467319,1,0.057999372482299805,17.241565851512945,0.006998300552368164,0.021999835968017578,0.0,0.018999338150024414
37,Other,0.15796104,0.7699606,1,0.05900096893310547,16.94887419787609,0.0069997310638427734,0.021999835968017578,0.002002716064453125,0.013998746871948242
38,Other,0.160129,0.77086014,1,0.06399917602539062,15.625201168266079,0.0060002803802490234,0.024001121520996094,0.0009999275207519531,0.01599907875061035
39,Other,0.15773048,0.77567464,1,0.06212663650512695,16.09615546976337,0.0069997310638427734,0.02500009536743164,0.0,0.01500082015991211
40,Other,0.13153926,0.7994011,1,0.06451416015625,15.500473036896878,0.0069997310638427734,0.025002479553222656,0.0,0.016997337341308594
41,Other,0.12630731,0.8044448,1,0.06299996376037598,15.873025003689813,0.00800013542175293,0.028002023696899414,0.0,0.01499795913696289
42,Other,0.13487774,0.7987417,1,0.056000471115112305,17.85699263037342,0.0070002079010009766,0.022001266479492188,0.0,0.015000104904174805
43,Other,0.14108549,0.79249895,1,0.06399941444396973,15.625142959323183,0.00699925422668457,0.023999929428100586,0.0010001659393310547,0.015999794006347656
44,Other,0.16841863,0.7623725,1,0.059000253677368164,16.949079667831814,0.007999897003173828,0.022000551223754883,0.0,0.015999555587768555
45,Other,0.15905865,0.7732124,1,0.06400322914123535,15.624211675215777,0.0070002079010009766,0.024002552032470703,0.002000093460083008,0.015000343322753906
46,Other,0.18150379,0.7447876,1,0.059996604919433594,16.66760979796856,0.007999897003173828,0.023999929428100586,0.0,0.016000032424926758
47,Other,0.11688605,0.8109026,1,0.06000232696533203,16.666020312475165,0.006999969482421875,0.021000146865844727,0.0019996166229248047,0.01500248908996582
48,Other,0.12279135,0.8047432,1,0.06199979782104492,16.1290848542181,0.007999658584594727,0.022000789642333984,0.0009989738464355469,0.014001846313476562
49,Other,0.1224224,0.8041063,1,0.06599807739257812,15.151956534304375,0.007999897003173828,0.02599930763244629,0.0010001659393310547,0.013000011444091797
50,Other,0.122589536,0.80286604,1,0.06599998474121094,15.151518654451927,0.008002758026123047,0.028999805450439453,0.0,0.01599717140197754
51,Other,0.16157453,0.7612232,1,0.06099987030029297,16.393477479167643,0.00800013542175293,0.028999805450439453,0.0,0.014999866485595703
52,Other,0.15591657,0.7680249,1,0.06100010871887207,16.393413405353854,0.007999658584594727,0.026000499725341797,0.0009999275207519531,0.015999317169189453
53,Other,0.15433148,0.768757,1,0.06299972534179688,15.873085074174993,0.007999658584594727,0.028000354766845703,0.0009999275207519531,0.014999628067016602
54,Other,0.13487479,0.79043514,1,0.05800056457519531,17.241211483442402,0.007000446319580078,0.025999784469604492,0.0009999275207519531,0.014000654220581055
55,Other,0.12220579,0.80538166,1,0.0709996223449707,14.08458195934102,0.007999897003173828,0.03299999237060547,0.0,0.01699972152709961
56,Other,0.10990004,0.8159769,1,0.07200074195861816,13.888745765630329,0.006999969482421875,0.029001712799072266,0.0,0.015999794006347656
57,Other,0.11111194,0.81335014,1,0.07499933242797852,13.33345201386019,0.0069997310638427734,0.029000043869018555,0.0,0.01600027084350586
58,Other,0.12691633,0.79135287,1,0.07499980926513672,13.333367241839706,0.008001089096069336,0.027998924255371094,0.0,0.014999866485595703
59,Other,0.17335758,0.72722334,1,0.06300020217895508,15.872964933659297,0.0070002079010009766,0.0279996395111084,0.0010001659393310547,0.01600027084350586
60,Other,0.25692213,0.6121201,1,0.06000256538391113,16.665954090491876,0.00799870491027832,0.027001619338989258,0.0,0.015001058578491211
61,Other,0.3013366,0.54730207,1,0.05800032615661621,17.241282355891165,0.007999181747436523,0.026010990142822266,0.0,0.013991594314575195
62,Other,0.3181747,0.52454793,1,0.06699728965759277,14.925976932958966,0.007998466491699219,0.03000020980834961,0.0,0.014999866485595703
63,Other,0.37602946,0.48282105,1,0.07599997520446777,13.157899029698807,0.007999658584594727,0.02899956703186035,0.0,0.015000581741333008
64,clapping,0.5878981,0.292888,1,0.055999755859375,17.857220708446867,0.006999969482421875,0.025999784469604492,0.0,0.013999462127685547
65,clapping,0.763448,0.15309225,1,0.06200003623962402,16.129022830488335,0.0070002079010009766,0.02500009536743164,0.0,0.01399993896484375
66,clapping,0.77848196,0.14080094,1,0.06600308418273926,15.150807153668042,0.006999969482421875,0.027002573013305664,0.0009999275207519531,0.01600027084350586
67,clapping,0.7691087,0.14570655,1,0.060997724533081055,16.394054166031513,0.006999969482421875,0.0279996395111084,0.0,0.015000343322753906
68,clapping,0.5365712,0.3287572,1,0.05999922752380371,16.666881246150485,0.007999897003173828,0.02700018882751465,0.0,0.014000177383422852
69,clapping,0.44442675,0.40914106,1,0.059000253677368164,16.949079667831814,0.0070002079010009766,0.026999711990356445,0.0,0.014000177383422852
70,Other,0.3784085,0.46678492,1,0.06000018119812012,16.666616334007525,0.007998466491699219,0.02300095558166504,0.0,0.0149993896484375
71,clapping,0.44572136,0.4111504,1,0.06300044059753418,15.872904864083438,0.0069997310638427734,0.02200031280517578,0.0010004043579101562,0.017000198364257812
72,clapping,0.5697202,0.30803242,1,0.0689992904663086,14.492902655111886,0.007999897003173828,0.029000043869018555,0.0,0.016000032424926758
73,clapping,0.6223136,0.26415193,1,0.07599973678588867,13.157940307310064,0.0070002079010009766,0.0279996395111084,0.0,0.016000032424926758
74,clapping,0.68622816,0.21320502,1,0.06300067901611328,15.872844794962232,0.006999969482421875,0.0279996395111084,0.0,0.01600050926208496
75,clapping,0.6965024,0.20457847,1,0.07700014114379883,12.986989181389761,0.007999420166015625,0.028002500534057617,0.0,0.016998291015625
76,clapping,0.78805274,0.13315748,1,0.0709993839263916,14.084629255892516,0.006999969482421875,0.025999784469604492,0.0009996891021728516,0.01399993896484375
77,clapping,0.8182302,0.109622836,1,0.06200146675109863,16.128650698126922,0.0069997310638427734,0.026999950408935547,0.0,0.015001535415649414
78,clapping,0.7784485,0.14205626,1,0.062001705169677734,16.12858867773616,0.006998300552368164,0.0279998779296875,0.0,0.015003204345703125
79,clapping,0.82639194,0.10357723,1,0.06899714469909668,14.493353375144698,0.008000612258911133,0.029999971389770508,0.0,0.018999338150024414
80,clapping,0.84442335,0.08690958,1,0.07400012016296387,13.513491569983794,0.00800013542175293,0.03300118446350098,0.0,0.014998912811279297
81,clapping,0.8526467,0.076943345,1,0.0709996223449707,14.08458195934102,0.006999969482421875,0.026000022888183594,0.0020003318786621094,0.013999700546264648
82,clapping,0.8497815,0.07957407,1,0.056000471115112305,17.85699263037342,0.0069997310638427734,0.023000478744506836,0.0009996891021728516,0.013000249862670898
83,clapping,0.852497,0.076443836,1,0.06500005722045898,15.384601841323406,0.007999420166015625,0.02700018882751465,0.0,0.014000415802001953
84,clapping,0.85008,0.07814009,1,0.06199955940246582,16.129146878424887,0.008000373840332031,0.024999380111694336,0.0,0.015000104904174805
85,clapping,0.8412911,0.08734299,1,0.05600094795227051,17.85684058156119,0.007998466491699219,0.023001432418823242,0.0010001659393310547,0.013998985290527344
86,clapping,0.8419727,0.08809982,1,0.06600260734558105,15.150916610977658,0.007999658584594727,0.024002552032470703,0.0009996891021728516,0.01500082015991211
87,clapping,0.83134955,0.099910766,1,0.0579991340637207,17.241636726875107,0.006999969482421875,0.02300286293029785,0.0,0.015999317169189453
88,clapping,0.83631665,0.0958506,1,0.07400012016296387,13.513491569983794,0.008999824523925781,0.036000728607177734,0.0,0.014001846313476562
89,clapping,0.8450108,0.085772224,1,0.06999778747558594,14.28616583558135,0.007999658584594727,0.029000043869018555,0.0,0.015000104904174805
90,clapping,0.8485593,0.08165694,1,0.059000253677368164,16.949079667831814,0.007999897003173828,0.0280001163482666,0.0,0.015000581741333008
91,clapping,0.8464616,0.08341671,1,0.06100010871887207,16.393413405353854,0.00800013542175293,0.0260007381439209,0.0009999275207519531,0.01399993896484375
92,clapping,0.84482014,0.08565637,1,0.05899930000305176,16.949353635522364,0.007999658584594727,0.02500009536743164,0.0010001659393310547,0.012999773025512695
93,clapping,0.8442311,0.08714929,1,0.06299996376037598,15.873025003689813,0.007002353668212891,0.026996612548828125,0.0,0.014999866485595703
94,clapping,0.8404538,0.09062339,1,0.06400275230407715,15.624328079658182,0.007999897003173828,0.02800297737121582,0.0010001659393310547,0.015999794006347656
95,clapping,0.80235726,0.124560006,1,0.06800055503845215,14.705762319653594,0.006999969482421875,0.023000240325927734,0.0,0.015003204345703125
96,clapping,0.75701314,0.14898464,1,0.06299877166748047,15.873325360662438,0.006999969482421875,0.02200007438659668,0.0,0.015002250671386719
97,clapping,0.7325675,0.16927998,1,0.06199789047241211,16.129581061229512,0.007002830505371094,0.02299642562866211,0.0009996891021728516,0.015000104904174805
98,clapping,0.7415281,0.16288239,1,0.06000232696533203,16.666020312475165,0.0070002079010009766,0.021999835968017578,0.0009999275207519531,0.014002323150634766
99,clapping,0.7368663,0.15874068,1,0.0579981803894043,17.241920234150832,0.0069997310638427734,0.02200007438659668,0.0,0.014000415802001953
100,clapping,0.7149985,0.17276274,1,0.06699919700622559,14.925552016796257,0.006999969482421875,0.025999784469604492,0.0,0.01300048828125
101,clapping,0.7052685,0.17999572,1,0.06100130081176758,16.39309304379773,0.006000041961669922,0.025000572204589844,0.0019998550415039062,0.014000654220581055
102,clapping,0.72985166,0.1667084,1,0.0579988956451416,17.24170760281997,0.007001161575317383,0.020998477935791016,0.001001596450805664,0.012998580932617188
103,clapping,0.7902659,0.12646134,1,0.06800079345703125,14.705710759564681,0.0069997310638427734,0.02700066566467285,0.0,0.014000177383422852
104,clapping,0.8156154,0.10812865,1,0.06299924850463867,15.873205216509358,0.0070002079010009766,0.02499985694885254,0.0009996891021728516,0.01600027084350586
105,clapping,0.8108296,0.110408895,1,0.06200003623962402,16.129022830488335,0.006999492645263672,0.026000499725341797,0.0,0.016999483108520508
106,clapping,0.79920393,0.118938595,1,0.058000802993774414,17.241140611576295,0.006999969482421875,0.023000001907348633,0.0010001659393310547,0.01500082015991211
107,clapping,0.79541534,0.12174623,1,0.06600189208984375,15.151080799907525,0.008002758026123047,0.023996829986572266,0.0,0.018002986907958984
108,clapping,0.7940617,0.12357766,1,0.05499911308288574,18.182111382286514,0.006999492645263672,0.02200150489807129,0.0009984970092773438,0.014001846313476562
109,clapping,0.78226924,0.13142876,1,0.065032958984375,15.376818395119662,0.007999897003173828,0.026000261306762695,0.0,0.012999773025512695
110,clapping,0.76576513,0.1443716,1,0.06199979782104492,16.1290848542181,0.007000446319580078,0.023999929428100586,0.0009999275207519531,0.015999794006347656
111,clapping,0.75943965,0.14681047,1,0.05700039863586426,17.54373695503959,0.0069997310638427734,0.02200007438659668,0.0009999275207519531,0.014000177383422852
112,clapping,0.75111675,0.15243724,1,0.06599998474121094,15.151518654451927,0.006999492645263672,0.02400374412536621,0.0,0.01599717140197754
113,clapping,0.7465259,0.1560459,1,0.057999610900878906,17.241494976733478,0.0070002079010009766,0.024000167846679688,0.0009999275207519531,0.013999700546264648
114,clapping,0.73376274,0.16618948,1,0.06700015068054199,14.925339567787232,0.0069997310638427734,0.0279998779296875,0.0009999275207519531,0.01300048828125
115,clapping,0.72375655,0.1735013,1,0.06399989128112793,15.625026542738466,0.006999969482421875,0.02700018882751465,0.0,0.01600027084350586
116,clapping,0.70928943,0.18825541,1,0.05500006675720215,18.18179611334839,0.008000612258911133,0.023999452590942383,0.0,0.014000177383422852
