class_name,accuracy,default_confidence,frame_confidence
punching person (boxing) 259,0.20408163265306123,0.30759613136051456,0.38028724001776437
abseiling 0,0.2,0.15493628710683577,0.3149183141388488
canoeing or kayaking 42,0.2,0.12147868480919412,0.2795928346661989
playing paintball 240,0.2,0.11537863235957033,0.24430888332283357
rock climbing 278,0.2,0.14903901240694625,0.27451139133331
strumming guitar 335,0.2,0.07864240569622627,0.19054467357822583
waiting in line 377,0.2,0.25437023983009344,0.3186455280000231
dancing gangnam style 86,0.1875,0.3330998905850101,0.42302107919217335
feeding fish 124,0.1836734693877551,0.07006108329591587,0.17244727416418043
motorcycling 199,0.1836734693877551,0.12220642801866735,0.2795176724325044
playing cricket 227,0.1836734693877551,0.27490202742486186,0.43493802197400844
snowmobiling 324,0.1836734693877551,0.07984978227488287,0.25159644023305205
water skiing 383,0.1836734693877551,0.12197786500218906,0.3107101151967501
building shed 39,0.18,0.13081767008154457,0.30571521800705953
bungee jumping 40,0.18,0.06448091021501279,0.19754382939903406
paragliding 205,0.18,0.07229417342338397,0.20152443658684696
playing organ 239,0.18,0.13090756521810337,0.24163525786506124
playing recorder 243,0.18,0.1636659392954483,0.27662583284412556
playing violin 250,0.18,0.23553504387066213,0.34027557344685305
pushing car 261,0.18,0.1799871557426888,0.3155971683145712
robot dancing 277,0.18,0.29022465012612714,0.44884607521683634
tapping guitar 350,0.18,0.09045988470157412,0.2071892066148654
tasting beer 352,0.18,0.23922385326163595,0.319278997602824
training dog 363,0.18,0.19655577135313593,0.3511644036232654
washing dishes 379,0.18,0.09762213463162019,0.19488419662745846
drop kicking 105,0.1702127659574468,0.17254533858072235,0.33430480632447374
bending back 20,0.16666666666666666,0.1235739411841799,0.23030898358729449
driving car 103,0.16666666666666666,0.06538344474072234,0.18391033913506163
milking cow 197,0.16666666666666666,0.1302954145665441,0.21568655728440875
extinguishing fire 121,0.16326530612244897,0.1502991006370117,0.27415777954894643
